verbatim_name,canonical_name,fuzzy_candidate,fuzzy_score,fuzzy_candidate_taxon_id
Andrena unknown,andrena unknown,andrena,0.9,57669
Andrena prunorum-prunorum,andrena prunorum-prunorum,andrena prunorum,0.9,57667
Andrena prunorum-prunorum,andrena prunorum-prunorum,andrena,0.9,57669
Andrena prunorum-prunorum,andrena prunorum-prunorum,andrena aculeata,0.855,458995
Andrena prunorum-prunorum,andrena prunorum-prunorum,andrena auricoma,0.855,361386
Andrena prunorum-prunorum,andrena prunorum-prunorum,andrena buckelli,0.855,213581
