verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
"Andrena piperi Viereck, 1904",andrena piperi,309141,andrena piperi,exact,1.0,,
Andrena porterae,andrena porterae,459019,andrena porterae,exact,1.0,,
Andrena prolixa,andrena prolixa,573889,andrena prolixa,exact,1.0,,
Andrena prunorum,andrena prunorum,57667,andrena prunorum,exact,1.0,,
"Andrena prunorum Cockerell, 1896",andrena prunorum,57667,andrena prunorum,exact,1.0,,
Andrena prunorum prunorum,andrena prunorum,57667,andrena prunorum,exact,1.0,,
Andrena quintiliformis,andrena quintiliformis,459020,andrena quintiliformis,exact,1.0,,
"Andrena quintiliformis Viereck, 1917",andrena quintiliformis,459020,andrena quintiliformis,exact,1.0,,
Andrena raveni,andrena raveni,573856,andrena raveni,exact,1.0,,
Andrena ribblei,andrena ribblei,573850,andrena ribblei,exact,1.0,,
"Andrena rufosignata Cockerell, 1902",andrena rufosignata,198967,andrena rufosignata,exact,1.0,,
"Andrena schuhi LaBerge, 1980",andrena schuhi,459024,andrena schuhi,exact,1.0,,
Andrena scurra,andrena scurra,213596,andrena scurra,exact,1.0,,
"Andrena semipunctata Cockerell, 1902",andrena semipunctata,361409,andrena semipunctata,exact,1.0,,
Andrena shoshoni,andrena shoshoni,213597,andrena shoshoni,exact,1.0,,
"Andrena sigmundi Cockerell, 1902",andrena sigmundi,198964,andrena sigmundi,exact,1.0,,
Andrena sladeni,andrena sladeni,459026,andrena sladeni,exact,1.0,,
"Andrena sola Viereck, 1917",andrena sola,309108,andrena sola,exact,1.0,,
Andrena striatifrons,andrena striatifrons,459027,andrena striatifrons,exact,1.0,,
"Andrena subaustralis Cockerell, 1898",andrena subaustralis,213598,andrena subaustralis,exact,1.0,,
Andrena subtilis,andrena subtilis,213599,andrena subtilis,exact,1.0,,
Andrena sulcata,andrena sulcata,573719,andrena sulcata,exact,1.0,,
"Andrena surda Cockerell, 1910",andrena surda,271444,andrena surda,exact,1.0,,
"Andrena thaspii Graenicher, 1903",andrena thaspii,198961,andrena thaspii,exact,1.0,,
Andrena topazana,andrena topazana,459028,andrena topazana,exact,1.0,,
"Andrena topazana Cockerell, 1906",andrena topazana,459028,andrena topazana,exact,1.0,,
Andrena trevoris,andrena trevoris,459029,andrena trevoris,exact,1.0,,
"Andrena trevoris Cockerell, 1897",andrena trevoris,459029,andrena trevoris,exact,1.0,,
"Andrena tridens Robertson, 1902",andrena tridens,198960,andrena tridens,exact,1.0,,
Andrena trizonata,andrena trizonata,459030,andrena trizonata,exact,1.0,,
Andrena unknown,andrena unknown,57669,andrena,fuzzy,0.9,,rapidfuzz best match: andrena
"Andrena vicina Smith, 1853",andrena vicina,198958,andrena vicina,exact,1.0,,
Andrena vicinoides,andrena vicinoides,459031,andrena vicinoides,exact,1.0,,
"Andrena vicinoides Viereck, 1904",andrena vicinoides,459031,andrena vicinoides,exact,1.0,,
Andrena walleyi,andrena walleyi,459032,andrena walleyi,exact,1.0,,
"Andrena washingtoni Cockerell, 1901",andrena washingtoni,459033,andrena washingtoni,exact,1.0,,
Andrena w-scripta,andrena w-scripta,198954,andrena w-scripta,exact,1.0,,
"Andrena w-scripta Viereck, 1904",andrena w-scripta,198954,andrena w-scripta,exact,1.0,,
"Anthidiellum notatum (Latreille, 1809)",anthidiellum notatum,270467,anthidiellum notatum,exact,1.0,,
"Anthidiellum notatum robertsoni (Cockerell, 1904)",anthidiellum notatum,270467,anthidiellum notatum,exact,1.0,,
Anthidium atrifrons,anthidium atrifrons,1026414,anthidium atrifrons,exact,1.0,,
Anthidium formosum,anthidium formosum,501960,anthidium formosum,exact,1.0,,
Anthidium manicatum manicatum,anthidium manicatum,62453,anthidium manicatum,exact,1.0,,
"Anthidium mormonum Cresson, 1878",anthidium mormonum,308704,anthidium mormonum,exact,1.0,,
"Anthidium oblongatum (Illiger, 1806)",anthidium oblongatum,125792,anthidium oblongatum,exact,1.0,,
Anthidium tenuiflorae,anthidium tenuiflorae,213763,anthidium tenuiflorae,exact,1.0,,
"Anthidium tenuiflorae Cockerell, 1907",anthidium tenuiflorae,213763,anthidium tenuiflorae,exact,1.0,,
