"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"calliopsis bernardinensis","Asteraceae","Asteraceae : Gutierrezia Lag. , Heterotheca Cass. ,","CA","Rare"
"calliopsis callops","","Chamaesaracha (A. Gray) Benth. , Physalis L.","AZ-CO-NV-NM","Uncommon-Rare"
"calliopsis callosa","","Tidestromia Standl.","AZ-NM","Rare"
"calliopsis chlorops","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Heliomeris Nutt. , Heterotheca Cass. , Xanthisma DC.","AZ-CO-ID-NM-NV-UT-WY","Uncommon"
"calliopsis cinctus","","Calochortus Pursh","CA","Rare"
"calliopsis coloradensis","","Grindelia Willd.","AZ-CO-ID-MT-NM-UT-WY","Uncommon-Rare"
"calliopsis coloratipes","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Haplopappus Cass. , Helianthus L. , Heterotheca Cass. , Verbesina L. , Viguiera Kunth","AZ-NM-NV","Uncommon-Rare"
"calliopsis comptula","","Horkelia Cham. & Schltdl. , Potentilla L.","CA","Rare"
"calliopsis crypta","Asteraceae","Asteraceae : Cirsium Mill. , Heterotheca Cass. , Verbesina L.","AZ-NM","Rare"
"calliopsis deserticola","Asteraceae","Asteraceae : Encelia Adans.","AZ-CA","Rare"
"calliopsis edwardsii","","Horkelia Cham. & Schltdl. , Potentilla L.","CA-ID-OR-WA","Uncommon-Rare"
"calliopsis empelia","","Sphaeralcea A. St.-Hil.","AZ","Rare"
"calliopsis foleyi","","Larrea Cav.","AZ-CA-NV","Rare"
"calliopsis fracta","Boraginaceae","Boraginaceae : Cryptantha Lehm. ex G. Don , Eriodictyon Benth. , Nama L. , Phacelia Juss.","AZ-CA-NV-UT","Rare"
"calliopsis fulgida","","Euphorbia L.","AZ-NM","Rare"
"calliopsis gilva","","Euphorbia L.","AZ-NM","Rare"
"calliopsis helianthi","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NM-NV","Uncommon-Rare"
"calliopsis hesperia","","Heliotropium L.","CA-NV-UT","Uncommon-Rare"
"calliopsis hirsutifrons","","Verbena L.","NM","Rare"
"calliopsis larreae","","Larrea Cav.","CA-NV","Rare"
"calliopsis limbus","","Euphorbia L.","AZ-NM","Rare"
"calliopsis linsleyi","","Eriodictyon Benth.","CA","Rare"
"calliopsis macswaini","","Wislizenia Engelm.","AZ","Rare"
"calliopsis meliloti","Fabaceae","Fabaceae : Dalea L. , Psorothamnus Rydb.","AZ-NM-UT","Uncommon-Rare"
"calliopsis mellipes","","Lotus L. ( Acmispon Raf.)","CA","Rare"
"calliopsis micheneri","","Trifolium L.","CA","Rare"
"calliopsis nigromaculata","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NV-UT","Rare"
"calliopsis obscurella","","Eschscholzia Cham.","AZ-CA-OR","Rare"
"calliopsis pectidis","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Dyssodia Cav. , Heterotheca Cass. , Pectis L. , Verbesina L.","AZ-CA-NM","Uncommon-Rare"
"calliopsis persimilis","","Physalis L.","AZ-CA-NM","Rare"
"calliopsis phaceliae","","Phacelia Juss.","CA","Rare"
"calliopsis philiphunteri","Asteraceae","Asteraceae : Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Isocoma Nutt. , Machaeranthera Nees , Verbesina L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"calliopsis puellae","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Calycoseris A. Gray , Chaenactis DC. , Malacothrix DC.","AZ-CA-ID-NM-NV-UT","Common-Uncommon"
"calliopsis pugionis","Asteraceae","Asteraceae : Centromadia Greene , Chaenactis DC. , Coreopsis L. , Encelia Adans. , Helianthus L. , Hemizonia DC.","CA","Rare"
"calliopsis rogeri","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-NM","Rare"
"calliopsis rozeni","Asteraceae","Asteraceae : Bahia Lag. , Baileya Harv. & A. Gray ex A. Gray , Dyssodia Cav. , Encelia Adans. , Gutierrezia Lag. , Heliomeris Nutt. , Heterotheca Cass. , Machaeranthera Nees , Malacothrix DC. , Psilostrophe DC. , Verbesina L.","AZ-CA-NM","Uncommon"
"calliopsis squamifera","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NM","Rare"
"calliopsis subalpina","","Sphaeralcea A. St.-Hil.","AZ-CA-CO-NM-NV-UT","Common"
"calliopsis syphar","","Euphorbia L.","CA","Rare"
"calliopsis trifolii","","Trifolium L.","AZ-CA-UT","Uncommon-Rare"
"calliopsis verbenae","","Verbena L.","AZ-NM","Rare"
"calliopsis zebrata","","Astragalus L.","AZ-CO-NM-UT-WY","Rare"
"calliopsis zonalis","","Monardella Benth.","CA-UT","Rare"
"caupolicana ocellata","","Dalea L. , Psorothamnus Rydb.","AZ-CO-NM","Rare"
"cemolobus ipomoeae","","Ipomoea L. , Calystegia R. Br. ?","CO","Rare"
"centris californica","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","AZ-CA-NV","Rare"
"ceratina sequoiae","","Clarkia Pursh","AZ-CA-ID-OR-WA","Uncommon-Rare"
"chelostoma californicum","","Phacelia Juss.","CA-NM-UT","Uncommon-Rare"
"chelostoma cockerelli","","Eriodictyon Benth.","AZ-CA-NV-OR-UT","Uncommon-Rare"
"chelostoma incisulum","","Phacelia Juss.","CA","Uncommon-Rare"
"chelostoma marginatum","","Phacelia Juss.","AZ-CA-NV","Uncommon-Rare"
"chelostoma minutum","Boraginaceae","Boraginaceae : Cryptantha Lehm. ex G. Don , Eriodictyon Benth. , Nama L. , Nemophila Nutt. , Phacelia Juss.","CA-ID-NM-NV-OR-UT-WA","Uncommon"
