"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"dufourea virgata","","Camissonia Link , Oenothera L.","AZ-CA","Rare"
"eucera acerba","","Arctostaphylos Adans.","CA-MT-NV-OR-UT","Rare"
"eucera amsinckiae","","Amsinckia Lehm.","CA-ID-NV-OR-WA","Rare"
"eulonchopria punctatissima","","Vachellia Wight & Arn.","AZ","Rare"
"exomalopsis solidaginis","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Machaeranthera Nees , Pectis L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"florilegus condignus","","Pontederia L. , Fabaceae ?","CO-NM","Rare"
"habropoda laboriosa","","Cercis L. , Lupinus L. , Vaccinium L.","CA-UT","Rare"
"habropoda pallida","Fabaceae","Fabaceae : Astragalus L. , Parkinsonia L. , Prosopis L. , Psorothamnus Rydb.","AZ-CA-NM-NV-UT","Uncommon"
"heriades cressoni","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Helianthus L. , Machaeranthera Nees , Senecio L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"heriades crucifera","Asteraceae","Asteraceae : Erigeron L. , Heliomeris Nutt. , Machaeranthera Nees , Verbesina L.","AZ-NM","Rare"
"hesperapis arenicola","Asteraceae","Asteraceae : Chaenactis DC. , Encelia Adans. , Geraea Torr. & A. Gray","AZ-CA-NV","Rare"
"hesperapis arida","","Larrea Cav.","AZ-CA-NV","Rare"
"hesperapis carinata","Asteraceae","Asteraceae : Helianthus L.","CO-ID-NV-OR-UT-WY","Rare"
"hesperapis fulvipes","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chaenactis DC. , Encelia Adans. , Geraea Torr. & A. Gray","AZ-CA-NV","Uncommon"
"hesperapis ilicifoliae","","Adenostoma Hook. & Arn. , Eriogonum Michx.","CA","Rare"
"hesperapis larreae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon"
"hesperapis laticeps","Loasaceae","Loasaceae : Eucnide Zucc. , Mentzelia L.","AZ-CA-NV","Uncommon-Rare"
"hesperapis leucura","","Dalea L.","AZ-CA","Rare"
"hesperapis pellucida","","Eschscholzia Cham.","CA","Rare"
"hesperapis regularis","","Clarkia Pursh","CA","Rare"
"hesperapis rhodocerata","Asteraceae","Asteraceae : Bahia Lag. , Baileya Harv. & A. Gray ex A. Gray , Chloracantha G.L. Nesom , Dyssodia Cav. , Gutierrezia Lag. , Helianthus L. , Heliomeris Nutt. , Heterotheca Cass. , Hymenothrix A. Gray , Isocoma Nutt. , Machaeranthera Nees , Pectis L. , Verbesina L. , Xylothamia G.L. Nesom, Suh, D. Morgan & Simpson","AZ-NM","Common-Uncommon"
"hesperapis rodecki","Asteraceae","Asteraceae : Helianthus L.","AZ-CO-NM","Rare"
"hesperapis rufipes","Polemoniaceae","Polemoniaceae : Eriastrum Wooton & Standl. , Navarretia Ruiz & Pav.","CA-UT","Rare"
"hesperapis trochanterata","","Nama L.","AZ","Rare"
"hoplitis basingeri","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis biscutellae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"hoplitis bunocephala","","Lotus L.","CA","Rare"
"hoplitis caudex","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis colei","","Eriodictyon Benth.","AZ-CA-CO-NV-UT","Uncommon-Rare"
"hoplitis cryptanthae","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis deserticola","","Cryptantha Lehm. ex G. Don","AZ-CA","Uncommon-Rare"
"hoplitis elongaticeps","Fabaceae","Fabaceae : Astragalus L. , Dalea L. , Lotus L.","AZ-CA-NV-UT-WY","Rare"
"hoplitis evansi","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis hamulicornis","","Cryptantha Lehm. ex G. Don","CA-NV","Rare"
"hoplitis howardi","","Lotus L.","CA","Uncommon-Rare"
"hoplitis incanescens","","Cryptantha Lehm. ex G. Don","AZ-CA-NV-UT","Rare"
"hoplitis jacintana","","Cryptantha Lehm. ex G. Don","CA-OR","Uncommon-Rare"
"hoplitis mojavensis","Boraginaceae","Boraginaceae : Nama L. , Phacelia Juss.","AZ-CA-NV-UT","Uncommon-Rare"
"hoplitis nanula","","Cryptantha Lehm. ex G. Don","CA-NV","Rare"
"hoplitis nigrella","","Cryptantha Lehm. ex G. Don","CA-NV","Rare"
"hoplitis paroselae","Fabaceae","Fabaceae : Astragalus L. , Dalea L. , Psorothamnus Rydb.","AZ-CA-NV-UT","Uncommon-Rare"
"hoplitis pygmaea","","Cryptantha Lehm. ex G. Don","AZ-CA-NV-UT","Rare"
"hoplitis reducta","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis remotula","","Cryptantha Lehm. ex G. Don","AZ-CA-NM-NV","Rare"
"hoplitis seminigra","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis semirubra","","Cryptantha Lehm. ex G. Don","CA","Uncommon-Rare"
"hoplitis tristis","","Cryptantha Lehm. ex G. Don","CA","Rare"
"hoplitis xerophila","","Cryptantha Lehm. ex G. Don","AZ-CA-NV-UT","Rare"
"hylaeus basalis","Rosaceae","Rosaceae: Potentilla L.","CT-MA-ME-NH-NY-VT","Rare"
"lasioglossum aberrans","","Oenothera L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"lasioglossum antiochense","","Oenothera L.","CA","Rare"
"lasioglossum lusorium","","Oenothera L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"lasioglossum lustrans","","Eurybia (Cass.) Cass. , Pyrrhopappus DC.","NM","Rare"
"lasioglossum noctivaga","","Oenothera L.","AZ-CO-NM-UT","Rare"
"lasioglossum potosi","","Oenothera L.","AZ","Rare"
"lasioglossum texanum","","Oenothera L.","AZ-CO-MT-WY","Rare"
"lithurgopsis apicalis","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","AZ-CA-CO-NM-NV-UT-WY","Uncommon-Rare"
"lithurgopsis echinocacti","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","AZ-CA-NM","Rare"
"lithurgopsis listrota","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","CA","Rare"
"lithurgopsis littoralis","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","NM","Rare"
"lithurgopsis planifrons","Cactaceae","Cactaceae : Cylindropuntia (Engelm.) Kreuzinger , Echinocactus Link & Otto , Ferocactus Britton & Rose , Opuntia Mill.","AZ","Rare"
"macropis nuda","","Lysimachia L.","CO-ID-MT-UT-WY","Uncommon-Rare"
"macrotera arcuata","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-UT","Uncommon"
"macrotera azteca","","Opuntia Mill.","AZ","Rare"
"macrotera haplura","","Sphaeralcea A. St.-Hil.","AZ-NM-UT","Rare"
"macrotera latior","Malvaceae","Malvaceae : Sphaeralcea A. St.-Hil.","AZ-NM-NV-OR-UT","Uncommon"
"macrotera magniceps","Malvaceae","Malvaceae : Sphaeralcea A. St.-Hil.","AZ-NM","Rare"
"macrotera mellea","Euphorbiaceae","Euphorbiaceae : Chamaesyce Gray , Euphorbia L.","AZ-CA-NM-NV","Uncommon-Rare"
"macrotera opuntiae","","Opuntia Mill.","CO-WY","Rare"
"macrotera portalis","","Sphaeralcea A. St.-Hil.","AZ-NM","Uncommon-Rare"
"macrotera texana","","Opuntia Mill.","NM","Rare"
"megachile agustini","Asteraceae","Asteraceae : Cirsium Mill. , Helianthus L. , Heliomeris Nutt. , Verbesina L.","AZ-CA-CO-NM-UT","Uncommon-Rare"
"megachile alata","Asteraceae","Asteraceae : Bahia Lag. , Bebbia (Benth.) Greene , Encelia Adans. , Helianthus L.","AZ-CA-NV","Rare"
"megachile campanulae","","Campanula L. , Campanulastrum Small","CO-MT","Rare"
"megachile chilopsidis","Fabaceae","Fabaceae : Olneya A. Gray , Parkinsonia L. , Prosopis L. , Psorothamnus Rydb.","AZ-CA-CO-NM-NV","Uncommon-Rare"
"megachile davidsoni","","Ehrendorferia Fukuhara & Lidén","CA","Uncommon-Rare"
"megachile fidelis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Cirsium Mill. , Coreopsis L. , Encelia Adans. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Helenium L. , Helianthus L. , Hemizonia DC. , Heterotheca Cass. , Holocarpha Greene , Machaeranthera Nees , Madia Molina , Plectocephalus D.Don , Rudbeckia L. , Senecio L. , Solidago L. , Symphyotrichum Nees , Verbesina L. , Viguiera Kunth","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"megachile fortis","","Helianthus L.","AZ-CO-NM-NV-WY","Rare"
"megachile frugalis","Asteraceae","Asteraceae ; Fabaceae","AZ-CA-NM-NV-UT","Uncommon"
"megachile gravita","","Clarkia Pursh","CA-OR-WA","Uncommon-Rare"
"megachile inimica","Asteraceae","Asteraceae : Encelia Adans. , Helianthus L.","AZ-CA-CO-ID-MT-NM-UT-WY","Uncommon-Rare"
"megachile lapponica","","Chamaenerion Ség.","CO-ID-MT-OR-UT-WA-WY","Rare"
"megachile lobatifrons","Fabaceae","Fabaceae : Olneya A. Gray , Parkinsonia L. , Prosopis L. , Psorothamnus Rydb.","AZ-CA-NM-NV-UT","Rare"
"megachile manifesta","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Helianthus L. , Heliomeris Nutt. , Senecio L. , Xanthisma DC.","AZ-CA-CO-MT-NM-OR-UT-WY","Rare"
"megachile melanophaea","Fabaceae","Fabaceae : Astragalus L. , Hedysarum L. , Lotus L. , Lupinus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"megachile mellitarsis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Cirsium Mill. , Encelia Adans. , Grindelia Willd. , Pluchea Cass. , Senecio L.","AZ-CA-CO-NM-NV-OR-UT-WA-WY","Rare"
"megachile nevadensis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Cirsium Mill. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Isocoma Nutt. , Senecio L. , Solidago L. , Symphyotrichum Nees","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"megachile newberryae","Fabaceae","Fabaceae : Dalea L. , Parkinsonia L. , Prosopis L. , Vachellia Wight & Arn.","AZ-CA-CO-NM-NV-UT","Uncommon"
"megachile occidentalis","Fabaceae","Fabaceae : Lotus L.","AZ-CA-UT","Rare"
"megachile odontostoma","Fabaceae","Fabaceae : Parkinsonia L. , Prosopis L.","AZ-CA-CO-NM-NV-UT-WA","Uncommon-Rare"
"megachile parallela","Asteraceae","Asteraceae : Baccharis L. , Bebbia (Benth.) Greene , Chrysothamnus Nutt. , Coreopsis L. , Corethrogyne DC. , Deinandra Greene , Echinacea Moench , Ericameria Nutt. , Gaillardia Foug. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Helenium L. , Helianthus L. , Hemizonia DC. , Heterotheca Cass. , Hymenothrix A. Gray , Malacothrix DC. , Palafoxia Lag. , Plectocephalus D.Don , Pyrrocoma Hook. , Rudbeckia L. , Senecio L. , Solidago L. , Stephanomeria Nutt. , Tetraneuris Greene , Verbesina L. , Wyethia Nutt.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"megachile pascoensis","","Clarkia Pursh","CA-ID-MT-OR-WA","Uncommon-Rare"
"megachile perihirta","Asteraceae","Asteraceae , Fabaceae","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"megachile pugnata","Asteraceae","Asteraceae : Cirsium Mill.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"megachile rossi","Asteraceae","Asteraceae : Encelia Adans. , Helianthus L. , Pluchea Cass. , Verbesina L.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"megachile soledadensis","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Bebbia (Benth.) Greene , Chrysothamnus Nutt. , Heliomeris Nutt. , Helianthus L. , Heterotheca Cass. , Machaeranthera Nees , Pectis L. , Verbesina L.","AZ-CA-NM-NV","Rare"
"megachile subexilis","Fabaceae","Fabaceae : Lotus L. , Lupinus L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"megachile subnigra","Asteraceae","Asteraceae : Achillea L. , Bebbia (Benth.) Greene , Chaenactis DC. , Cirsium Mill. , Coreopsis L. , Encelia Adans. , Ericameria Nutt. , Eriophyllum Lag. , Layia Hook. & Arn. ex DC. , Senecio L.","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"megachile townsendiana","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Encelia Adans. , Haplopappus Cass. , Heterotheca Cass. , Hymenopappus L'Hér. , Isocoma Nutt. , Pectis L. , Verbesina L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"megachile umatillensis","","Oenothera L.","AZ-CA-CO-NM-OR-WA","Rare"
"megachile wheeleri","Asteraceae","Asteraceae : Achillea L. , Chrysothamnus Nutt. , Cirsium Mill. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Machaeranthera Nees ,","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"megandrena enceliae","","Larrea Cav.","AZ-CA-NV","Common-Uncommon"
"megandrena mentzeliae","Loasaceae","Loasaceae : Eucnide Zucc. , Mentzelia L.","AZ-NV","Rare"
"melissodes agilis","Asteraceae","Asteraceae : Cirsium Mill. , Grindelia Willd. , Helianthus L. , Ratibida Raf. , Rudbeckia L. , Simsia Pers. , Solidago L. , Verbesina L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"melissodes appressa","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Dyssodia Cav. , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Isocoma Nutt. , Verbesina L.","CA-NM-UT","Rare"
"melissodes bicolorata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Gutierrezia Lag. , Machaeranthera Nees , Tetradymia DC. , Stephanomeria Nutt.","CA-CO-UT","Rare"
"melissodes bimatris","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Cirsium Mill. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Isocoma Nutt. , Machaeranthera Nees , Symphyotrichum Nees , Verbesina L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"melissodes brevipyga","Asteraceae","Asteraceae : Baccharis L. , Chrysothamnus Nutt. , Machaeranthera Nees , Pectis L.","AZ-CA-ID-NM-NV-UT","Uncommon-Rare"
"melissodes clarkiae","","Clarkia Pursh","CA-OR","Rare"
"melissodes coloradensis","Asteraceae","Asteraceae : Cirsium Mill. , Coreopsis L. , Helianthus L. , Heliopsis Pers. , Liatris Gaertn. ex Schreb. , Machaeranthera Nees , Rudbeckia L. , Silphium L. , Solidago L. , Vernonia Schreb.","AZ-CA-CO-NM-UT-WY","Rare"
"melissodes compositus","Asteraceae","Asteraceae : Ericameria Nutt. , Grindelia Willd. , Helianthus L. , Heterotheca Cass. , Machaeranthera Nees","AZ-CA-CO-ID-MT-NM-WY","Rare"
"melissodes confusus","Asteraceae","Asteraceae : Bidens L. , Chrysothamnus Nutt. , Cirsium Mill. , Cosmos Cav. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Heliomeris Nutt. , Heliopsis Pers. , Heterotheca Cass. , Hymenoxys Cass. , Pericome A. Gray , Pyrrocoma Hook. , Rudbeckia L. , Senecio L. , Simsia Pers. , Symphyotrichum Nees","AZ-CA-CO-NM-NV-UT","Rare"
"melissodes coreopsis","Asteraceae","Asteraceae : Cirsium Mill. , Coreopsis L. , Echinacea Moench , Erigeron L. , Gaillardia Foug. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Machaeranthera Nees , Ratibida Raf. , Solidago L. , Symphyotrichum Nees , Verbesina L.","AZ-CO-MT-NM-NV-UT-WY","Common"
"melissodes desponsa","Asteraceae","Asteraceae : Cirsium Mill.","CA-ID","Rare"
"melissodes druriella","Asteraceae","Asteraceae : Eurybia (Cass.) Cass. , Euthamia Nutt. ex Cass. , Helianthus L. , Rudbeckia L. , Symphyotrichum Nees , Verbesina L. , Vernonia Schreb.","AZ-CO-MT-NM-UT-WY","Uncommon"
"melissodes fasciatella","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Heterotheca Cass. , Isocoma Nutt. , Machaeranthera Nees , Symphyotrichum Nees , Viguiera Kunth","AZ-NM-UT","Rare"
"melissodes gelida","Asteraceae","Asteraceae : Helianthus L.","CO-MT-NM-WY","Rare"
"melissodes glenwoodensis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Helianthus L. , Machaeranthera Nees , Senecio L. , Symphyotrichum Nees , Verbesina L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"melissodes grindeliae","Asteraceae","Asteraceae : Coreopsis L. , Erigeron L. , Grindelia Willd. , Heterotheca Cass. , Hymenoxys Cass. , Petradoria Greene , Ratibida Raf. , Senecio L.","AZ-CA-CO-ID-NM-NV-UT-WA-WY","Common-Uncommon"
"melissodes humilior","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Gutierrezia Lag. , Helenium L. , Helianthus L. , Heterotheca Cass. , Isocoma Nutt. , Machaeranthera Nees , Senecio L. , Viguiera Kunth","AZ-NM-UT","Uncommon-Rare"
"melissodes hurdi","Asteraceae","Asteraceae : Solidago L.","CA","Rare"
"melissodes hymenoxidis","Asteraceae","Asteraceae : Agoseris Raf. , Chrysothamnus Nutt. , Erigeron L. , Eurybia (Cass.) Cass. , Gaillardia Foug. , Grindelia Willd. , Heliomeris Nutt. , Heterotheca Cass. , Pyrrocoma Hook. , Symphyotrichum Nees","CA-CO-MT-UT-WY","Uncommon-Rare"
"melissodes illata","Asteraceae","Asteraceae : Baccharis L. , Bidens L. , Cirsium Mill. , Coreopsis L. , Cosmos Cav. , Erigeron L. , Gaillardia Foug. , Grindelia Willd. , Haplopappus Cass. , Helenium L. , Helianthus L. , Heliopsis Pers. , Hieracium L. , Plectocephalus D.Don , Ratibida Raf. , Rudbeckia L. , Silphium L. , Verbesina L. , Vernonia Schreb. , Xanthisma DC.","UT","Rare"
"melissodes limbus","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Flaveria Juss. , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Hymenoxys Cass. , Pectis L. , Solidago L. , Symphyotrichum Nees , Verbesina L. , Xanthisma DC.","AZ-CA-NM-NV-UT","Common-Uncommon"
"melissodes lupina","Asteraceae","Asteraceae : Bidens L. , Centromadia Greene , Cirsium Mill. , Encelia Adans. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Helianthus L. , Hemizonia DC. , Heterotheca Cass. , Holocarpha Greene , Plectocephalus D.Don , Solidago L. , Stephanomeria Nutt. , Symphyotrichum Nees","AZ-CA-CO-ID-OR-UT-WA","Uncommon-Rare"
"melissodes lustra","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Isocoma Nutt. , Symphyotrichum Nees","CA-NM-OR-UT","Rare"
"melissodes lutulenta","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Gutierrezia Lag. , Heterotheca Cass.","AZ-CA-CO-ID-NM-NV-OR-UT-WY","Uncommon"
"melissodes menuachus","Asteraceae","Asteraceae : Grindelia Willd. , Erigeron L. , Helianthus L. , Heterotheca Cass. , Isocoma Nutt. , Machaeranthera Nees , Solidago L. , Symphyotrichum Nees , Verbesina L. , Viguiera Kunth","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"melissodes micheneri","Asteraceae","Asteraceae : Heterotheca Cass.","CA","Rare"
"melissodes microsticta","Asteraceae","Asteraceae : Achillea L. , Anaphalis DC. , Antennaria Gaertn. , Chrysothamnus Nutt. , Cirsium Mill. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Hazardia Greene , Helenium L. , Helianthus L. , Heterotheca Cass. , Plectocephalus D.Don , Rudbeckia L. , Senecio L. , Solidago L. , Symphyotrichum Nees","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"melissodes monoensis","Asteraceae","Asteraceae : Chrysothamnus Nutt.","CA-NM","Rare"
"melissodes montanus","Asteraceae","Asteraceae : Bidens L. , Chrysothamnus Nutt. , Coreopsis L. , Erigeron L. , Gymnosperma Less. , Haplopappus Cass. , Heliomeris Nutt. , Heliopsis Pers. , Machaeranthera Nees , Porophyllum Adans. , Simsia Pers. , Verbesina L. , Viguiera Kunth , Xanthocephalum Willd","AZ-CO-NM-NV-UT","Uncommon"
"melissodes moorei","Asteraceae","Asteraceae : Encelia Adans. , Hemizonia DC. , Heterotheca Cass.","CA","Rare"
"melissodes nigracauda","Asteraceae","Asteraceae : Stephanomeria Nutt.","CA","Rare"
"melissodes pallidisignata","Asteraceae","Asteraceae : Coreopsis L. , Engelmannia A. Gray ex Nutt. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Machaeranthera Nees , Plectocephalus D.Don , Senecio L. , Solidago L. , Symphyotrichum Nees","AZ-CA-CO-ID-OR-NM-MT-UT-WA-WY","Rare"
"melissodes paulula","Asteraceae","Asteraceae : Baccharis L. , Ericameria Nutt. , Euthamia Nutt. ex Cass. , Isocoma Nutt.","CA-WA","Rare"
"melissodes perlusa","Asteraceae","Asteraceae : Grindelia Willd. , Helianthus L. , Ratibida Raf.","AZ-CO-NM-UT-WY","Uncommon-Rare"
"melissodes perpolita","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Gutierrezia Lag.","CO-NM-UT","Rare"
"melissodes personatella","Asteraceae","Asteraceae : Gutierrezia Lag.","CA","Rare"
"melissodes pilleata","Asteraceae","Asteraceae : Haplopappus Cass. , Symphyotrichum Nees","AZ","Rare"
"melissodes plumosa","Asteraceae","Asteraceae : Adenophyllum Pers. , Grindelia Willd. , Helianthus L. , Machaeranthera Nees , Plectocephalus D.Don","CA-ID-OR-WA","Rare"
"melissodes pullatella","Asteraceae","Asteraceae : Grindelia Willd.","OR","Rare"
"melissodes rivalis","Asteraceae","Asteraceae : Brickellia Elliott , Cirsium Mill. , Helianthus L. , Plectocephalus D.Don","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"melissodes robustior","Asteraceae","Asteraceae : Coreopsis L. , Grindelia Willd. , Helianthus L. , Hemizonia DC. , Heterotheca Cass.","CA-ID-NV-OR-UT-WA","Uncommon"
"melissodes rufipes","Asteraceae","Asteraceae : Hymenoxys Cass. , Rayjacksonia R.L. Hartm. & M.A. Lane","AZ","Rare"
"melissodes saponellus","Asteraceae","Asteraceae : Erigeron L. , Machaeranthera Nees , Symphyotrichum Nees","AZ-CA-CO-ID-UT","Uncommon"
"melissodes semilupina","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Helianthus L. , Machaeranthera Nees , Senecio L. , Symphyotrichum Nees","CA-CO-NM-OR-UT","Rare"
"melissodes snowii","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Ericameria Nutt. , Gaillardia Foug. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Isocoma Nutt. , Machaeranthera Nees , Senecio L. , Stephanomeria Nutt. , Symphyotrichum Nees , Xanthisma DC.","CO-NM-UT-WY","Rare"
"melissodes subagilis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Helianthus L. , Heterotheca Cass. , Isocoma Nutt. , Machaeranthera Nees , Pectis L. , Symphyotrichum Nees","AZ-CA-ID-NM-NV-OR-UT-WA-WY","Uncommon"
"melissodes submenuacha","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Encelia Adans. , Ericameria Nutt. , Helianthus L. , Heliopsis Pers. , Verbesina L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"melissodes trinodis","Asteraceae","Asteraceae : Coreopsis L. , Grindelia Willd. , Helianthus L. , Heliopsis Pers. , Ratibida Raf. , Rudbeckia L. , Solidago L. , Symphyotrichum Nees","CO-ID-NM","Rare"
"melissodes tristis","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Chaetopappa DC. , Chrysothamnus Nutt. , Cirsium Mill. , Encelia Adans. , Ericameria Nutt. , Erigeron L. , Gaillardia Foug. , Geraea Torr. & A. Gray , Gutierrezia Lag. , Helianthus L. , Heliopsis Pers. , Heterotheca Cass. , Hymenoxys Cass. , Isocoma Nutt. , Machaeranthera Nees , Senecio L. , Thelesperma Less. , Verbesina L.","AZ-CA-CO-NM-NV-OR-UT-WY","Common"
"melissodes utahensis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Machaeranthera Nees , Solidago L. , Symphyotrichum Nees , Verbesina L.","AZ-CA-CO-ID-NM-NV-OR-UT","Uncommon-Rare"
"melissodes velutinus","Polemoniaceae","Polemoniaceae : Eriastrum Wooton & Standl.","CA","Rare"
"melissodes verbesinarum","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Chaetopappa DC. , Chrysothamnus Nutt. , Dyssodia Cav. , Encelia Adans. , Grindelia Willd. , Gutierrezia Lag. , Helenium L. , Helianthus L. , Heterotheca Cass. , Hymenoxys Cass. , Isocoma Nutt. , Machaeranthera Nees , Pectis L. , Symphyotrichum Nees , Verbesina L. , Xanthisma DC.","AZ-CA-CO-NM-NV-UT-WA","Uncommon-Rare"
"melissodes vernalis","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Encelia Adans. , Helianthus L. , Orochaenactis Coville , Psilostrophe DC. , Stephanomeria Nutt.","AZ-CA-NV-UT-WY","Uncommon-Rare"
"melissodes vernoniae","Asteraceae","Asteraceae : Bidens L. , Gaillardia Foug. , Grindelia Willd. , Helianthus L. , Heliopsis Pers. , Lactuca L. , Liatris Gaertn. ex Schreb. , Rudbeckia L. , Silphium L. , Vernonia Schreb.","CO-ID-NM-WY","Rare"
"melissodes wheeleri","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Coreopsis L. , Echinacea Moench , Engelmannia A. Gray ex Nutt. , Gaillardia Foug. , Grindelia Willd. , Helianthus L. , Pectis L. , Ratibida Raf. , Rudbeckia L. , Silphium L. , Verbesina L.","AZ-CO-ID-NM","Rare"
"melitoma grisella","","Ipomoea L.","CO-NM","Rare"
