"canonical_name","native","nesting","sociality","foraging"
"agapanthinus callophilus","","","",""
"agapostemon aenigma","","Ground","Solitary",""
"agapostemon angelicus","native","Ground","Plastic","Generalist"
"agapostemon atrocaeruleus","","Ground","Solitary",""
"agapostemon coloradinus","native","Ground","Solitary","Generalist"
"agapostemon femoratus","native","Ground","Solitary","Generalist"
"agapostemon leunculus","native","Ground","Solitary","Generalist"
"agapostemon melliventris","native","Ground","Solitary","Generalist"
"agapostemon nasutus","native","Ground","Plastic","Generalist"
"agapostemon obliquus","native","Ground","Solitary","Generalist"
"agapostemon peninsularis","","Ground","Solitary",""
"agapostemon semimelleus","","Ground","Solitary","Generalist"
"agapostemon sericeus","native","Ground","Solitary","Generalist"
"agapostemon splendens","native","Ground","Solitary","Generalist"
"agapostemon texanus","native","Ground","Solitary","Generalist"
"agapostemon tyleri","native","Ground","Solitary","Generalist"
"agapostemon viequesensis","","Ground","Solitary","Generalist"
"agapostemon virescens","native","Ground","Plastic","Generalist"
"amegilla quadrifasciata","introduced","Ground","Solitary","Generalist"
"ancylandrena atoposoma","native","Ground","Solitary","Specialist"
"ancylandrena koebelei","native","Ground","Solitary","Specialist"
"ancylandrena larreae","native","Ground","Solitary","Specialist"
"ancylandrena rozeni","native","Ground","Solitary","Specialist"
"ancylandrena timberlakei","native","Ground","Solitary","Specialist"
"ancyloscelis apiformis","","Ground","","Specialist"
"ancyloscelis sejunctus","","Ground","","Specialist"
"andrena aberrans","","Ground","Solitary","Specialist"
"andrena ablegata","","Ground","Solitary",""
"andrena accepta","native","Ground","Solitary","Specialist"
"andrena acrana","","Ground","Solitary",""
"andrena aculeata","native","Ground","Solitary","Generalist"
"andrena afimbriata","","Ground","Solitary",""
"andrena agilissima","introduced","Ground","Communal","Specialist"
"andrena agoseridis","","Ground","Solitary",""
"andrena alamonis","","Ground","Solitary",""
"andrena albiculta","","Ground","Solitary",""
"andrena albuginosa","","Ground","Solitary",""
"andrena algida","native","Ground","Solitary",""
"andrena aliciae","native","Ground","Solitary","Specialist"
"andrena aliciarum","native","Ground","Solitary",""
"andrena alleghaniensis","native","Ground","Solitary",""
"andrena amphibola","native","Ground","Solitary",""
"andrena anatolis","native","Ground","Solitary","Specialist"
"andrena andrenoides","native","Ground","Solitary",""
"andrena angelesia","native","Ground","Solitary",""
"andrena angustella","native","Ground","Solitary",""
"andrena angusticrus","","Ground","Solitary",""
"andrena angustifovea","","Ground","Solitary",""
"andrena angustitarsata","","Ground","Solitary",""
"andrena anisochlora","native","Ground","Solitary",""
"andrena annectens","","Ground","Solitary",""
"andrena anograe","","Ground","Solitary","Specialist"
"andrena antonitonis","","Ground","Solitary",""
"andrena apacheorum","","Ground","Solitary",""
"andrena apasta","native","Ground","Solitary",""
"andrena apiformis","","Ground","Solitary",""
"andrena aquila","","Ground","Solitary",""
"andrena arabis","native","Ground","Solitary",""
"andrena arctostaphylae","","Ground","Solitary",""
"andrena ardis","","Ground","Solitary",""
"andrena arenata","","Ground","Solitary",""
"andrena arenicola","","Ground","Solitary",""
"andrena argemonis","native","Ground","Solitary",""
"andrena argentiscopa","native","Ground","Solitary",""
"andrena asteris","native","Ground","Solitary","Specialist"
"andrena asteroides","native","Ground","Solitary","Specialist"
"andrena astragali","native","Ground","Solitary","Specialist"
"andrena atlantica","native","Ground","Solitary",""
"andrena atrata","","Ground","Solitary","Generalist"
"andrena atypica","","Ground","Solitary",""
"andrena auricoma","native","Ground","Solitary","Generalist"
"andrena aurihirta","","Ground","Solitary",""
"andrena auripes","","Ground","Solitary",""
"andrena autumnalis","","Ground","Solitary",""
"andrena avulsa","","Ground","Solitary",""
"andrena baeriae","native","Ground","Solitary",""
"andrena balsamhorizae","","Ground","Solitary",""
"andrena banksi","native","Ground","Solitary",""
"andrena barbara","native","Ground","Solitary",""
"andrena barberi","native","Ground","Solitary",""
"andrena barbilabris","native","Ground","Solitary","Generalist"
"andrena beameri","","Ground","Solitary",""
"andrena bellidoides","","Ground","Solitary",""
"andrena bendensis","","Ground","Solitary",""
"andrena berberidis","","Ground","Solitary",""
"andrena berkeleyi","native","Ground","Solitary",""
"andrena bernardina","native","Ground","Solitary",""
"andrena biareola","","Ground","Solitary",""
"andrena bicolor","introduced","Ground","Solitary","Generalist"
"andrena bimaculata","introduced","Ground","Solitary","Generalist"
"andrena birtwelli","","Ground","Solitary",""
"andrena bisalicis","native","Ground","Solitary",""
"andrena biscutellata","","Ground","Solitary",""
"andrena bisulcata","","Ground","Solitary",""
"andrena blaisdelli","native","Ground","Solitary","Specialist"
"andrena blanda","","Ground","Solitary",""
"andrena blennospermatis","","Ground","Solitary","Specialist"
"andrena bocensis","","Ground","Solitary",""
"andrena boronensis","native","Ground","Solitary","Specialist"
"andrena braccata","native","Ground","Solitary","Specialist"
"andrena bradleyi","native","Ground","Solitary",""
"andrena brevicornis","","Ground","Solitary",""
"andrena brevipalpis","","Ground","Solitary",""
"andrena brooksi","","Ground","Solitary",""
"andrena bruneri","","Ground","Solitary",""
"andrena buccata","","Ground","Solitary",""
"andrena bucculenta","","Ground","Solitary",""
"andrena buckelli","","Ground","Solitary",""
"andrena bullata","","Ground","Solitary",""
"andrena caerulea","","Ground","Solitary",""
"andrena caeruleonitens","","Ground","Solitary",""
"andrena californiensis","","Ground","Solitary",""
"andrena caliginosa","","Ground","Solitary",""
"andrena callopyrrha","","Ground","Solitary",""
"andrena calvata","","Ground","Solitary",""
"andrena camissoniae","","Ground","Solitary",""
"andrena canadensis","native","Ground","Solitary",""
"andrena candida","native","Ground","Solitary",""
"andrena candidiformis","","Ground","Solitary",""
"andrena capricornis","","Ground","Solitary",""
"andrena carantonica","introduced","Ground","Solitary","Generalist"
"andrena carlini","native","Ground","Solitary","Generalist"
"andrena caroli","","Ground","Solitary",""
"andrena carolina","native","Ground","Solitary",""
"andrena carolinensis","","Ground","Solitary",""
"andrena casadae","","Ground","Solitary",""
"andrena ceanothi","native","Ground","Solitary","Specialist"
"andrena ceanothifloris","","Ground","Solitary",""
"andrena cerasifolii","native","Ground","Solitary","Generalist"
"andrena cercocarpi","","Ground","Solitary",""
"andrena cerebrata","","Ground","Solitary",""
"andrena chalybaea","native","Ground","Solitary","Specialist"
"andrena chalybioides","","Ground","Solitary",""
"andrena chaparralensis","","Ground","Solitary",""
"andrena chapmanae","","Ground","Solitary",""
"andrena cheyennorum","","Ground","Solitary",""
"andrena chippewaensis","","Ground","Solitary",""
"andrena chlorogaster","native","Ground","Solitary",""
"andrena chlorosoma","","Ground","Solitary",""
"andrena chlorura","","Ground","Solitary",""
"andrena chromotricha","native","Ground","Solitary","Specialist"
"andrena chrysosceles","introduced","Ground","Solitary","Generalist"
"andrena chylismiae","native","Ground","Solitary","Specialist"
"andrena cinerea","","Ground","Solitary",""
"andrena citrinihirta","","Ground","Solitary",""
"andrena clarkella","native","Ground","Solitary","Specialist"
"andrena cleodora","native","Ground","Solitary","Generalist"
"andrena coactipostica","","Ground","Solitary",""
"andrena coconina","","Ground","Solitary",""
"andrena colletiformis","introduced","Ground","Solitary","Generalist"
"andrena colletina","","Ground","Solitary",""
"andrena columbiana","","Ground","Solitary",""
"andrena commoda","native","Ground","Solitary",""
"andrena compositarum","","Ground","Solitary",""
"andrena compta","","Ground","Solitary",""
"andrena concinnula","native","Ground","Solitary",""
"andrena confederata","native","Ground","Solitary",""
"andrena congrua","native","Ground","Solitary",""
"andrena coracina","native","Ground","Solitary",""
"andrena cornelli","native","Ground","Solitary","Specialist"
"andrena coruscata","","Ground","Solitary",""
"andrena costillensis","","Ground","Solitary",""
"andrena cragini","native","Ground","Solitary",""
"andrena crataegi","native","Ground","Solitary",""
"andrena crawfordi","native","Ground","Solitary","Specialist"
"andrena cressonii","native","Ground","Solitary","Generalist"
"andrena crinita","native","Ground","Solitary",""
"andrena cristata","","Ground","Solitary",""
"andrena critica","","Ground","Solitary",""
"andrena cruciferarum","","Ground","Solitary",""
"andrena crudeni","","Ground","Solitary",""
"andrena cryptanthae","","Ground","Solitary",""
"andrena cuneilabris","","Ground","Solitary",""
"andrena cupreotincta","","Ground","Solitary",""
"andrena curvungula","","Ground","Solitary","Specialist"
"andrena cyanophila","","Ground","Solitary",""
"andrena cyanosoma","","Ground","Solitary",""
"andrena cymatilis","","Ground","Solitary",""
"andrena daeckei","native","Ground","Solitary",""
"andrena dallasiana","","Ground","Solitary",""
"andrena dapsilis","","Ground","Solitary",""
"andrena davisi","","Ground","Solitary",""
"andrena declinis","","Ground","Solitary",""
"andrena decolorata","","Ground","Solitary","Specialist"
"andrena deserticola","native","Ground","Solitary","Specialist"
"andrena dimorpha","","Ground","Solitary",""
"andrena dissimulans","","Ground","Solitary",""
"andrena dissona","","Ground","Solitary",""
"andrena distans","native","Ground","Solitary","Specialist"
"andrena dolomellea","","Ground","Solitary",""
"andrena duboisi","native","Ground","Solitary",""
"andrena dunningi","native","Ground","Solitary","Generalist"
"andrena duplicata","native","Ground","Solitary","Specialist"
"andrena durangoensis","native","Ground","Solitary",""
"andrena edwardsi","native","Ground","Solitary",""
"andrena ellisiae","","Ground","Solitary",""
"andrena elongatula","","Ground","Solitary",""
"andrena emeiensis","","Ground","Solitary",""
"andrena enocki","","Ground","Solitary",""
"andrena eothina","","Ground","Solitary",""
"andrena erberi","","Ground","Solitary",""
"andrena eremnophila","","Ground","Solitary",""
"andrena erigeniae","native","Ground","Solitary","Specialist"
"andrena erythrogaster","native","Ground","Solitary",""
"andrena erythronii","native","Ground","Plastic","Generalist"
"andrena escondida","native","Ground","Solitary","Specialist"
"andrena evoluta","","Ground","Solitary",""
"andrena faceta","","Ground","Solitary",""
"andrena fennigeri","native","Ground","Solitary","Specialist"
"andrena ferrugineipes","","Ground","Solitary",""
"andrena flaminea","","Ground","Solitary",""
"andrena flandersi","native","Ground","Solitary","Specialist"
"andrena flavipes","introduced","Ground","Solitary","Generalist"
"andrena flexa","native","Ground","Solitary",""
"andrena flocculosa","","Ground","Solitary",""
"andrena forbesii","native","Ground","Solitary","Generalist"
"andrena foxii","","Ground","Solitary",""
"andrena fracta","","Ground","Solitary",""
"andrena fragilis","native","Ground","Solitary","Generalist"
"andrena frigida","native","Ground","Solitary",""
"andrena fulgida","","Ground","Solitary",""
"andrena fulvida","introduced","Ground","Solitary","Generalist"
"andrena fulvipennis","native","Ground","Solitary","Specialist"
"andrena fulvitarsis","","Ground","Solitary",""
"andrena furva","native","Ground","Solitary",""
"andrena fuscicauda","native","Ground","Solitary","Generalist"
"andrena gardineri","native","Ground","Solitary","Specialist"
"andrena geranii","native","Ground","Solitary",""
"andrena gibberis","","Ground","Solitary",""
"andrena gnaphalii","","Ground","Solitary",""
"andrena gordoni","","Ground","Solitary",""
"andrena grindeliae","","Ground","Solitary",""
"andrena haemorrhoa","introduced","Ground","Solitary","Generalist"
"andrena hallii","","Ground","Solitary",""
"andrena hamulata","","Ground","Solitary",""
"andrena hastulata","","Ground","Solitary",""
"andrena hattorfiana","introduced","Ground","Solitary","Specialist"
"andrena haynesi","native","Ground","Solitary","Specialist"
"andrena helianthi","native","Ground","Solitary","Specialist"
"andrena helianthiformis","native","Ground","Solitary","Specialist"
"andrena hemileuca","native","Ground","Solitary",""
"andrena heraclei","native","Ground","Solitary",""
"andrena hermosa","","Ground","Solitary",""
"andrena heteropoda","","Ground","Solitary",""
"andrena hibernica","","Ground","Solitary",""
"andrena hicksi","","Ground","Solitary",""
"andrena hilaris","native","Ground","Solitary",""
"andrena hippotes","native","Ground","Solitary","Generalist"
"andrena hirticincta","native","Ground","Solitary","Specialist"
"andrena humabilis","","Ground","Solitary",""
"andrena hurdi","","Ground","Solitary",""
"andrena hypoleuca","","Ground","Solitary",""
"andrena ignota","","Ground","Solitary","Specialist"
"andrena ilicis","native","Ground","Solitary",""
"andrena illini","native","Ground","Solitary",""
"andrena illinoiensis","native","Ground","Solitary",""
"andrena illustris","","Ground","Solitary",""
"andrena imitatrix","native","Ground","Solitary","Generalist"
"andrena impolita","native","Ground","Solitary",""
"andrena impunctata","introduced","Ground","Solitary","Generalist"
"andrena inclinata","","Ground","Solitary",""
"andrena inculta","","Ground","Solitary",""
"andrena integra","native","Ground","Solitary",""
"andrena iranella","","Ground","Solitary",""
"andrena irrasus","native","Ground","Solitary",""
"andrena ishii","","Ground","Solitary",""
"andrena isocomae","native","Ground","Solitary","Specialist"
"andrena jeholensis","","Ground","Solitary",""
"andrena jennei","","Ground","Solitary",""
"andrena jessicae","native","Ground","Solitary",""
"andrena kaibabensis","","Ground","Solitary",""
"andrena kalmiae","native","Ground","Solitary",""
"andrena kansuensis","","Ground","Solitary",""
"andrena knuthiana","","Ground","Solitary",""
"andrena krigiana","native","Ground","Solitary","Specialist"
"andrena kristina","","Ground","Solitary",""
"andrena labergei","","Ground","Solitary",""
"andrena labiata","introduced","Ground","Solitary","Generalist"
"andrena labiatula","introduced","Ground","Solitary",""
"andrena lamelliterga","native","Ground","Solitary",""
"andrena laminibucca","","Ground","Solitary",""
"andrena lanhami","native","Ground","Solitary",""
"andrena latifrons","","Ground","Solitary",""
"andrena latinensis","","Ground","Solitary",""
"andrena lativentris","","Ground","Solitary",""
"andrena lauracea","native","Ground","Solitary",""
"andrena lauta","","Ground","Solitary",""
"andrena lawrencei","","Ground","Solitary","Generalist"
"andrena layiae","","Ground","Solitary",""
"andrena lehmanni","","Ground","Solitary",""
"andrena lepidii","","Ground","Solitary",""
"andrena leucomystax","native","Ground","Solitary",""
"andrena levipes","native","Ground","Solitary","Generalist"
"andrena lewisorum","","Ground","Solitary",""
"andrena linsleyana","native","Ground","Solitary","Specialist"
"andrena linsleyi","native","Ground","Solitary","Specialist"
"andrena livida","","Ground","Solitary",""
"andrena lomatii","","Ground","Solitary",""
"andrena longifovea","","Ground","Solitary",""
"andrena lonicerae","","Ground","Solitary",""
"andrena lupinorum","","Ground","Solitary",""
"andrena luteihirta","","Ground","Solitary",""
"andrena mackieae","","Ground","Solitary",""
"andrena macoupinensis","native","Ground","Solitary",""
"andrena macra","native","Ground","Solitary",""
"andrena macrocephala","","Ground","Solitary",""
"andrena macswaini","","Ground","Solitary",""
"andrena malacothricidis","native","Ground","Solitary","Specialist"
"andrena mandibularis","native","Ground","Solitary",""
"andrena manifesta","native","Ground","Solitary",""
"andrena mara","","Ground","Solitary",""
"andrena mariae","native","Ground","Solitary","Specialist"
"andrena mariposorum","","Ground","Solitary",""
"andrena medionitens","native","Ground","Solitary",""
"andrena melanochroa","native","Ground","Solitary",""
"andrena melittoides","","Ground","Solitary",""
"andrena mellea","","Ground","Solitary",""
"andrena melliventris","native","Ground","Solitary","Specialist"
"andrena mendica","native","Ground","Solitary",""
"andrena mentzeliae","native","Ground","Solitary","Specialist"
"andrena merriami","","Ground","Solitary","Generalist"
"andrena mesillae","","Ground","Solitary",""
"andrena mesoleuca","","Ground","Solitary",""
"andrena micheneri","","Ground","Solitary",""
"andrena micheneriana","native","Ground","Solitary",""
"andrena micheneriella","","Ground","Solitary",""
"andrena microchlora","","Ground","Solitary","Generalist"
"andrena milwakeensis","native","Ground","Solitary",""
"andrena mimbresensis","","Ground","Solitary",""
"andrena mimetes","","Ground","Solitary",""
"andrena miniata","","Ground","Solitary",""
"andrena miranda","native","Ground","Solitary",""
"andrena misella","","Ground","Solitary",""
"andrena miserabilis","native","Ground","Solitary","Generalist"
"andrena mohavensis","native","Ground","Solitary","Specialist"
"andrena mojavensis","","Ground","Solitary",""
"andrena monilicornis","native","Ground","Solitary",""
"andrena monoensis","","Ground","Solitary",""
"andrena monogonoparia","","Ground","Solitary",""
"andrena monticola","native","Ground","Solitary",""
"andrena montrosensis","","Ground","Solitary",""
"andrena moquiorum","","Ground","Solitary",""
"andrena morinella","","Ground","Solitary",""
"andrena morrisonella","native","Ground","Solitary",""
"andrena mucronata","","Ground","Solitary",""
"andrena murietae","","Ground","Solitary",""
"andrena nasonii","native","Ground","Solitary","Generalist"
"andrena neffi","","Ground","Solitary",""
"andrena nemophilae","","Ground","Solitary",""
"andrena neomexicana","","Ground","Solitary",""
"andrena neonana","native","Ground","Solitary",""
"andrena nevadae","","Ground","Solitary",""
"andrena nevadensis","","Ground","Solitary",""
"andrena nida","","Ground","Solitary",""
"andrena nigerrima","native","Ground","Solitary",""
"andrena nigra","native","Ground","Solitary",""
"andrena nigrae","","Ground","Solitary",""
"andrena nigricula","native","Ground","Solitary",""
"andrena nigrihirta","native","Ground","Solitary",""
"andrena nigripes","","Ground","Solitary","Specialist"
"andrena nigrocaerulea","native","Ground","Solitary","Generalist"
"andrena nigroclypeata","","Ground","Solitary",""
"andrena nitida","introduced","Ground","Solitary","Generalist"
"andrena nitidiuscula","introduced","Ground","Solitary","Specialist"
"andrena nivalis","native","Ground","Solitary","Generalist"
"andrena nothocalaidis","","Ground","Solitary",""
"andrena nothoscordi","native","Ground","Solitary",""
"andrena nubecula","native","Ground","Solitary","Specialist"
"andrena nuda","native","Ground","Solitary","Generalist"
"andrena obscuripennis","native","Ground","Solitary",""
"andrena obscuripostica","","Ground","Solitary",""
"andrena oenotherae","native","Ground","Solitary","Specialist"
"andrena ofella","native","Ground","Solitary",""
"andrena olivacea","native","Ground","Solitary",""
"andrena omninigra","native","Ground","Solitary","Specialist"
"andrena onisicolor","","Ground","Solitary",""
"andrena orthocarpi","native","Ground","Solitary",""
"andrena osmioides","native","Ground","Solitary",""
"andrena ovatula","introduced","Ground","Solitary","Generalist"
"andrena padoucorum","","Ground","Solitary",""
"andrena pallidifovea","native","Ground","Solitary","Specialist"
"andrena pallidiscopa","native","Ground","Solitary",""
"andrena palpalis","native","Ground","Solitary",""
"andrena papagorum","native","Ground","Solitary",""
"andrena parachalybea","","Ground","Solitary",""
"andrena parnassiae","native","Ground","Solitary",""
"andrena patagiata","native","Ground","Solitary",""
"andrena peckhami","native","Ground","Solitary","Specialist"
"andrena pecosana","native","Ground","Solitary","Specialist"
"andrena pectidis","native","Ground","Solitary",""
"andrena pectilis","native","Ground","Solitary",""
"andrena penemisella","native","Ground","Solitary",""
"andrena pensilis","native","Ground","Solitary",""
"andrena penutiani","","Ground","Solitary",""
"andrena perarmata","native","Ground","Solitary",""
"andrena perezana","","Ground","Solitary",""
"andrena perimelas","native","Ground","Solitary",""
"andrena perplexa","native","Ground","Solitary",""
"andrena perpunctata","","Ground","Solitary",""
"andrena persimulata","native","Ground","Solitary",""
"andrena personata","native","Ground","Solitary",""
"andrena pertristis","","Ground","Solitary",""
"andrena phaceliae","","Ground","Solitary",""
"andrena phenax","native","Ground","Solitary",""
"andrena pilipes","introduced","Ground","Solitary","Generalist"
"andrena piperi","native","Ground","Solitary","Generalist"
"andrena placata","native","Ground","Solitary","Specialist"
"andrena plana","","Ground","Solitary",""
"andrena platyparia","","Ground","Solitary",""
"andrena platyrhina","","Ground","Solitary",""
"andrena plebeia","","Ground","Solitary",""
"andrena plumiscopa","","Ground","Solitary",""
"andrena polemonii","native","Ground","Solitary",""
"andrena porterae","","Ground","Solitary",""
"andrena prima","native","Ground","Solitary",""
"andrena primulifrons","","Ground","Solitary",""
"andrena principalis","native","Ground","Solitary","Specialist"
"andrena prolixa","","Ground","Solitary",""
"andrena pruni","native","Ground","Solitary",""
"andrena prunifloris","","Ground","Solitary",""
"andrena prunorum","native","Ground","Solitary","Generalist"
"andrena pulverea","native","Ground","Solitary","Specialist"
"andrena pulverulenta","","Ground","Solitary",""
"andrena puthua","native","Ground","Solitary",""
"andrena pyropygia","","Ground","Solitary",""
"andrena pyrozonata","","Ground","Solitary",""
"andrena quadrilimbata","","Ground","Solitary",""
"andrena quericina","","Ground","Solitary",""
"andrena quintiliformis","","Ground","Solitary",""
"andrena quintilis","native","Ground","Solitary",""
"andrena ramaleyi","","Ground","Solitary",""
"andrena raveni","native","Ground","Solitary","Specialist"
"andrena reflexa","native","Ground","Solitary",""
"andrena regularis","native","Ground","Solitary","Generalist"
"andrena rehni","native","Ground","Solitary",""
"andrena relata","introduced","Ground","Solitary","Specialist"
"andrena ribblei","","Ground","Solitary",""
"andrena robertsonii","native","Ground","Solitary",""
"andrena robinsoni","","Ground","Solitary",""
"andrena rodilla","","Ground","Solitary","Specialist"
"andrena rozeni","native","Ground","Solitary","Specialist"
"andrena rubi","native","Ground","Solitary",""
"andrena rubrotincta","","Ground","Solitary","Specialist"
"andrena rudbeckiae","native","Ground","Solitary","Specialist"
"andrena ruficrus","introduced","Ground","Solitary","Specialist"
"andrena rufiventris","","Ground","Solitary",""
"andrena rufosignata","native","Ground","Solitary",""
"andrena rugosa","native","Ground","Solitary","Generalist"
"andrena runcinatae","","Ground","Solitary",""
"andrena rusticola","","Ground","Solitary",""
"andrena saccata","","Ground","Solitary",""
"andrena sagittagalea","","Ground","Solitary","Specialist"
"andrena sakagamii","","Ground","Solitary",""
"andrena salicifloris","native","Ground","Solitary",""
"andrena salicina","","Ground","Solitary",""
"andrena salictaria","native","Ground","Solitary",""
"andrena santaclarae","","Ground","Solitary",""
"andrena sarta","","Ground","Solitary",""
"andrena sayi","native","Ground","Solitary",""
"andrena schuhi","","Ground","Solitary",""
"andrena scotoptera","","Ground","Solitary",""
"andrena scurra","native","Ground","Solitary",""
"andrena scutellinitens","","Ground","Solitary",""
"andrena segregans","native","Ground","Solitary",""
"andrena semifulva","","Ground","Solitary",""
"andrena seminuda","introduced","Ground","Solitary","Generalist"
"andrena semipunctata","native","Ground","Solitary",""
"andrena semirubra","","Ground","Solitary",""
"andrena semirugosa","","Ground","Solitary",""
"andrena senticulosa","native","Ground","Solitary",""
"andrena shoshoni","","Ground","Solitary",""
"andrena siccata","","Ground","Solitary",""
"andrena sieverti","","Ground","Solitary",""
"andrena sigmundi","native","Ground","Solitary",""
"andrena similis","introduced","Ground","Solitary","Specialist"
"andrena simontornyella","","Ground","Solitary",""
"andrena simplex","native","Ground","Solitary","Specialist"
"andrena simulata","","Ground","Solitary",""
"andrena sitiliae","native","Ground","Solitary","Specialist"
"andrena sladeni","","Ground","Solitary",""
"andrena sodalis","introduced","Ground","Solitary",""
"andrena sola","native","Ground","Solitary","Generalist"
"andrena solenopalpa","","Ground","Solitary",""
"andrena sonorensis","","Ground","Solitary",""
"andrena specularia","","Ground","Solitary",""
"andrena sperryi","","Ground","Solitary",""
"andrena sphaeralceae","native","Ground","Solitary",""
"andrena spiraeana","native","Ground","Solitary",""
"andrena stagei","","Ground","Solitary",""
"andrena stigmatica","","Ground","Solitary",""
"andrena stipator","native","Ground","Solitary",""
"andrena striatifrons","native","Ground","Solitary",""
"andrena suavis","native","Ground","Solitary",""
"andrena subapasta","","Ground","Solitary",""
"andrena subaustralis","native","Ground","Solitary",""
"andrena subchalybea","","Ground","Solitary",""
"andrena subdepressa","","Ground","Solitary",""
"andrena sublayiae","native","Ground","Solitary",""
"andrena submaura","native","Ground","Solitary",""
"andrena submoesta","","Ground","Solitary",""
"andrena subnigripes","","Ground","Solitary",""
"andrena subrubicunda","native","Ground","Solitary",""
"andrena subtilis","native","Ground","Solitary",""
"andrena subtrita","native","Ground","Solitary",""
"andrena sulcata","","Ground","Solitary",""
"andrena surda","","Ground","Solitary",""
"andrena symphyti","introduced","Ground","Solitary","Specialist"
"andrena taeniata","","Ground","Solitary",""
"andrena tecta","","Ground","Solitary",""
"andrena tegularis","native","Ground","Solitary",""
"andrena tenuis","","Ground","Solitary",""
"andrena tetonorum","","Ground","Solitary",""
"andrena texana","native","Ground","Solitary",""
"andrena thaspii","native","Ground","Solitary",""
"andrena tildeni","","Ground","Solitary",""
"andrena timberlakei","","Ground","Solitary",""
"andrena tonkaworum","native","Ground","Solitary","Specialist"
"andrena topazana","native","Ground","Solitary",""
"andrena torulosa","","Ground","Solitary",""
"andrena transnigra","native","Ground","Solitary",""
"andrena trapezoidea","","Ground","Solitary",""
"andrena trapezoidina","","Ground","Solitary",""
"andrena trevoris","native","Ground","Solitary",""
"andrena tridens","native","Ground","Solitary",""
"andrena trikalensis","introduced","Ground","Solitary",""
"andrena trimaculata","","Ground","Solitary",""
"andrena trimmerana","introduced","Ground","Solitary","Generalist"
"andrena triquestra","native","Ground","Solitary",""
"andrena trivialis","","Ground","Solitary",""
"andrena trizonata","","Ground","Solitary",""
"andrena truncatella","","Ground","Solitary",""
"andrena unicostata","native","Ground","Solitary",""
"andrena utahensis","","Ground","Solitary",""
"andrena uvulariae","","Ground","Solitary",""
"andrena vanduzeei","native","Ground","Solitary","Specialist"
"andrena vandykei","","Ground","Solitary",""
"andrena variabilis","introduced","Ground","Solitary","Generalist"
"andrena venata","","Ground","Solitary",""
"andrena verae","introduced","Ground","Solitary","Generalist"
"andrena verbesinae","native","Ground","Solitary",""
"andrena verecunda","native","Ground","Solitary",""
"andrena vespertina","native","Ground","Solitary","Specialist"
"andrena vestali","","Ground","Solitary",""
"andrena vetula","","Ground","Solitary",""
"andrena vicina","native","Ground","Solitary","Generalist"
"andrena vicinoides","","Ground","Solitary",""
"andrena vierecki","","Ground","Solitary",""
"andrena violae","native","Ground","Solitary","Specialist"
"andrena virginiana","native","Ground","Solitary","Generalist"
"andrena viridissima","","Ground","Solitary",""
"andrena vulpicolor","native","Ground","Solitary","Specialist"
"andrena vulpoides","introduced","Ground","Solitary",""
"andrena waldmerei","native","Ground","Solitary",""
"andrena walleyi","","Ground","Solitary",""
"andrena washingtoni","","Ground","Solitary",""
"andrena wellesleyana","native","Ground","Solitary",""
"andrena wheeleri","native","Ground","Solitary",""
"andrena wilkella","introduced","Ground","Solitary","Specialist"
"andrena wilmattae","native","Ground","Solitary",""
"andrena winnemuccana","native","Ground","Solitary",""
"andrena wscripta","native","Ground","Solitary",""
"andrena xanthigera","","Ground","Solitary",""
"andrena zionensis","","Ground","Solitary",""
"andrena ziziae","native","Ground","Solitary",""
"andrena ziziaeformis","native","Ground","Solitary",""
"anthemurgus passiflorae","native","Ground","Solitary","Specialist"
"anthidiellum azteca","","Multiple","Solitary","Generalist"
"anthidiellum ehrhorni","native","Multiple","Solitary","Generalist"
"anthidiellum notatum","native","Multiple","Solitary","Generalist"
"anthidiellum perplexum","native","Multiple","Solitary","Generalist"
"anthidiellum toltecum","","Multiple","Solitary",""
"anthidium andinum","","Multiple","Solitary",""
"anthidium ardens","","Multiple","Solitary",""
"anthidium atripes","native","Multiple","Solitary",""
"anthidium banningense","","Multiple","Solitary",""
"anthidium bifidum","","Multiple","Solitary",""
"anthidium caspicum","","Multiple","Solitary",""
"anthidium clypeodentatum","native","Multiple","Solitary","Specialist"
"anthidium cochimi","","Multiple","Solitary",""
"anthidium cockerelli","native","Multiple","Solitary","Generalist"
"anthidium collectum","native","Multiple","Solitary",""
"anthidium crassidens","","Multiple","Solitary",""
"anthidium dammersi","native","Multiple","Solitary","Generalist"
"anthidium diadema","","Multiple","Solitary",""
"anthidium edwardsii","native","Multiple","Solitary","Generalist"
"anthidium emarginatum","native","Multiple","Solitary",""
"anthidium florentinum","introduced","Multiple","Solitary","Generalist"
"anthidium formosum","native","Multiple","Solitary",""
"anthidium illustre","native","Multiple","Solitary",""
"anthidium jocosum","native","Multiple","Solitary","Generalist"
"anthidium laeve","","Multiple","Solitary",""
"anthidium maculifrons","native","Multiple","Solitary",""
"anthidium maculosum","native","Multiple","Solitary","Generalist"
"anthidium manicatum","introduced","Multiple","Solitary","Generalist"
"anthidium montivagum","","Multiple","Solitary",""
"anthidium mormonum","native","Multiple","Solitary","Generalist"
"anthidium nigerrimum","","Multiple","Solitary",""
"anthidium oblongatum","introduced","Multiple","Solitary","Generalist"
"anthidium pallidiclypeum","native","Multiple","Solitary",""
"anthidium palliventre","native","Multiple","Solitary",""
"anthidium palmarum","","Multiple","Solitary",""
"anthidium paroselae","native","Multiple","Solitary","Generalist"
"anthidium placitum","","Multiple","Solitary",""
