species	county
Andrena perplexa	Whitman
Andrena sola	Klickitat
Andrena sola	San Juan
Andrena sola	Spokane
Andrena subaustralis	Benton
Andrena subaustralis	Kittitas
Andrena subaustralis	Thurston
Andrena subaustralis	Whitman
Andrena subaustralis	Yakima
Andrena subtilis	Island
Andrena subtilis	Kittitas
Andrena subtilis	San Juan
Andrena subtilis	Spokane
Andrena subtilis	Walla Walla
Andrena subtilis	Whitman
Andrena subtilis	Yakima
Andrena transnigra	Jefferson
Andrena transnigra	King
Andrena transnigra	Kitsap
Andrena transnigra	Kittitas
Andrena transnigra	Klickitat
Andrena transnigra	Pierce
Andrena transnigra	Skagit
Andrena transnigra	Spokane
Andrena transnigra	Stevens
Andrena transnigra	Thurston
Andrena vicina	King
Andrena vicina	Kittitas
Andrena vicina	San Juan
Andrena vicina	Snohomish
Andrena vicina	Stevens
Andrena vicina	Thurston
Andrena vicina	Whitman
Andrena chlorogaster	Chelan
Andrena chlorogaster	Kittitas
Andrena chlorogaster	Klickitat
Andrena chlorogaster	Thurston
Andrena chlorogaster	Walla Walla
Andrena chlorogaster	Whitman
Andrena chlorogaster	Yakima
Andrena illinoiensis	Grant
Andrena illinoiensis	Thurston
Andrena illinoiensis	Whitman
Andrena illinoiensis	Yakima
Andrena melanochroa	Chelan
Andrena melanochroa	Pierce
Andrena melanochroa	Spokane
Andrena melanochroa	Thurston
Andrena melanochroa	Whitman
Andrena microchlora	Benton
Andrena microchlora	Kittitas
Andrena microchlora	Klickitat
Andrena microchlora	Lincoln
Andrena microchlora	Spokane
Andrena microchlora	Thurston
Andrena microchlora	Whitman
Andrena microchlora	Yakima
Andrena nigrae	Asotin
Andrena nigrae	Whitman
Andrena piperi	Asotin
Andrena piperi	Benton
Andrena piperi	Chelan
Andrena piperi	Kittitas
Andrena piperi	Spokane
Andrena piperi	Walla Walla
Andrena piperi	Whitman
Andrena piperi	Yakima
Andrena salictaria	Spokane
Andrena salictaria	Whitman
Andrena raveni	Adams
Andrena raveni	Benton
Andrena andrenoides	Garfield
Andrena andrenoides	Thurston
Andrena andrenoides	Yakima
Andrena nevadensis	Thurston
Andrena nevadensis	Whitman
Andrena nevadensis	Yakima
Andrena crataegi	Asotin
Andrena crataegi	King
Andrena crataegi	Kittitas
Andrena crataegi	Okanogan
Andrena crataegi	Pierce
Andrena crataegi	Spokane
Andrena crataegi	Stevens
Andrena crataegi	Thurston
Andrena crataegi	Walla Walla
Andrena crataegi	Whitman
Andrena crataegi	Yakima
Andrena prunorum	Adams
Andrena prunorum	Asotin
Andrena prunorum	Benton
Andrena prunorum	Chelan
Andrena prunorum	Clallam
Andrena prunorum	Ferry
Andrena prunorum	Franklin
Andrena prunorum	Island
Andrena prunorum	Jefferson
Andrena prunorum	King
Andrena prunorum	Kitsap
Andrena prunorum	Kittitas
Andrena prunorum	Klickitat
Andrena prunorum	Lincoln
Andrena prunorum	Mason
Andrena prunorum	Okanogan
Andrena prunorum	Pierce
Andrena prunorum	San Juan
Andrena prunorum	Skagit
Andrena prunorum	Snohomish
Andrena prunorum	Spokane
Andrena prunorum	Stevens
Andrena prunorum	Thurston
Andrena prunorum	Walla Walla
Andrena prunorum	Whitman
Andrena prunorum	Yakima
Andrena astragali	Jefferson
Andrena astragali	Kittitas
Andrena astragali	Okanogan
Andrena astragali	San Juan
Andrena astragali	Spokane
Andrena astragali	Thurston
Andrena astragali	Whitman
Andrena auricoma	Garfield
Andrena auricoma	Kittitas
Andrena auricoma	Walla Walla
Andrena auricoma	Whitman
Andrena caerulea	Island
Andrena caerulea	Kittitas
Andrena caerulea	Klickitat
Andrena caerulea	Lewis
Andrena caerulea	Pierce
Andrena caerulea	Thurston
Andrena caerulea	Whitman
Andrena chlorura	King
Andrena chlorura	Thurston
Andrena chlorura	Whitman
Andrena lawrencei	Benton
Andrena lawrencei	Kittitas
Andrena lawrencei	Okanogan
Andrena lawrencei	Spokane
Andrena lawrencei	Whitman
Andrena lawrencei	Yakima
Andrena nigrihirta	Clallam
Andrena nigrihirta	Grays Harbor
Andrena nigrihirta	King
Andrena nigrihirta	Pierce
Andrena nigrihirta	Spokane
Andrena nigrihirta	Thurston
Andrena nigrihirta	Whitman
Andrena nigrocaerulea	Chelan
Andrena nigrocaerulea	Clallam
Andrena nigrocaerulea	Columbia
Andrena nigrocaerulea	Island
Andrena nigrocaerulea	King
Andrena nigrocaerulea	Kittitas
Andrena nigrocaerulea	Klickitat
Andrena nigrocaerulea	Pierce
Andrena nigrocaerulea	San Juan
Andrena nigrocaerulea	Spokane
Andrena nigrocaerulea	Thurston
Andrena nigrocaerulea	Walla Walla
Andrena nigrocaerulea	Whitman
Andrena nigrocaerulea	Yakima
Andrena pallidiscopa	Benton
Andrena pallidiscopa	Kittitas
Andrena pallidiscopa	Klickitat
Andrena pallidiscopa	Walla Walla
Andrena pallidiscopa	Whitman
Andrena ribblei	Okanogan
Andrena ribblei	Pierce
Andrena chapmanae	Adams
Andrena chapmanae	Chelan
Andrena chapmanae	Garfield
Andrena chapmanae	Klickitat
Andrena chapmanae	Whitman
Andrena gordoni	Benton
Andrena gordoni	Whitman
Andrena merriami	Asotin
Andrena merriami	Benton
Andrena merriami	Kittitas
Andrena merriami	Klickitat
Andrena merriami	Okanogan
Andrena merriami	Spokane
Andrena merriami	Walla Walla
Andrena merriami	Whitman
Andrena merriami	Yakima
Andrena scurra	Adams
Andrena scurra	Benton
Andrena scurra	Chelan
Andrena scurra	Garfield
Andrena scurra	Grant
Andrena scurra	Kittitas
Andrena scurra	Okanogan
Andrena scurra	Spokane
Andrena scurra	Walla Walla
Andrena scurra	Whitman
Andrena shoshoni	Whitman
Andrena sladeni	Asotin
Andrena sladeni	Benton
Andrena sladeni	Kittitas
Andrena sladeni	Whitman
Andrena sladeni	Yakima
Andrena walleyi	Spokane
Andrena walleyi	Whitman
Andrena angustitarsata	Asotin
Andrena angustitarsata	Ferry
Andrena angustitarsata	King
